Timestamp,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
1741818508.212026,-13544.844215493706,-4285.835240582853,-16381.012365938708,-29928.516439022595,-21755.645782428477,-17945.32155338783,-34370.8138907926,-187500.02235174447
1741818508.2120657,-13853.097123276846,-4592.344712298478,-16689.198218488484,-30249.55454463417,-22060.501225054413,-18241.57157439847,-34684.65473468957,-187500.02235174447
1741818508.212106,-14048.898404705335,-4793.800985074161,-16886.988805173492,-30450.094395887187,-22254.06733203737,-18440.79267272862,-34885.46280687604,-187500.02235174447
1741818508.2121556,-13771.937939159625,-4513.443054371244,-16608.888400660562,-30156.39247374445,-21979.945538037486,-18166.469713028637,-34602.71323951641,-187500.02235174447
1741818508.212196,-13505.348683041178,-4245.982080219041,-16336.241821794729,-29884.349391978907,-21711.434031895882,-17899.96986388801,-34329.910198439386,-187500.02235174447
1741818508.212236,-13770.261558325477,-4509.330333391468,-16599.90299938953,-30162.852127892034,-21972.100075733673,-18163.049896126973,-34599.5169400593,-187500.02235174447
1741818508.2122836,-14025.138500349343,-4765.816601016117,-16859.116179837725,-30429.30727354375,-22226.105299723782,-18423.850050431498,-34860.98764669748,-187500.02235174447
1741818508.2123344,-13832.958201522613,-4568.964787598227,-16673.350831669668,-30228.32038740163,-22043.17862310155,-18231.71445509368,-34668.62853391511,-187500.02235174447
1741818508.2123744,-13500.878334150117,-4232.794550990409,-16334.856013638499,-29884.66231640128,-21707.701290571844,-17894.58309347428,-34327.76443097168,-187500.02235174447
1741818508.2124183,-13694.332682410799,-4433.155588287782,-16524.063530452673,-30093.941699736322,-21890.605615449622,-18090.63024409178,-34525.75618335679,-187500.02235174447
1741818508.2124584,-14003.971398350168,-4745.6329757729745,-16835.132758037184,-30410.285939012283,-22200.847828489284,-18399.17372455284,-34839.21704759801,-187500.02235174447
1741818508.2124977,-13881.08150733489,-4623.145416157891,-16714.768614145352,-30275.84019611361,-22081.37775437567,-18277.781400416065,-34714.20374085948,-187500.02235174447
1741818508.2125373,-13512.545944755788,-4254.721612301065,-16343.908470142898,-29898.63215668585,-21710.517610373212,-17914.78907046188,-34340.102593911004,-187500.02235174447
1741818508.2125807,-13611.519469203886,-4344.821494200408,-16439.90921257844,-30006.79224810508,-21805.51252430827,-18009.29224601892,-34440.81955442662,-187500.02235174447
1741818508.2126217,-13952.562386102962,-4677.25898948419,-16779.99100446594,-30358.988685487355,-22141.61570568272,-18343.942564003773,-34785.572860905275,-187500.02235174447
1741818508.2126715,-13921.627571776817,-4651.621538593953,-16755.113512887183,-30326.80217347171,-22117.252304226437,-18317.120470657406,-34757.20849719149,-187500.02235174447
1741818508.2127163,-13550.834483007728,-4288.584505150856,-16387.7178892753,-29939.513497294607,-21753.343552749582,-17954.686934314603,-34379.821643808085,-187500.02235174447
1741818508.2127235,-13573.186227463035,-4306.711769904109,-16399.497258603245,-29959.02657020409,-21769.79443666869,-17972.165998478653,-34393.590318392555,-187500.02235174447
1741818508.212731,-13942.861729009359,-4674.576780149553,-16765.75294324791,-30338.223914888375,-22133.18909802307,-18335.560659833034,-34766.52917462935,-187500.02235174447
1741818508.212738,-13986.849962097403,-4717.000391125726,-16815.530278149876,-30382.525072398792,-22175.791522954885,-18381.404087710867,-34815.770067664394,-187500.02235174447
1741818508.2127454,-13608.792556380338,-4337.66893597471,-16440.669171889924,-29993.627070620903,-21798.427021315936,-18013.069690831864,-34436.01392936873,-187500.02235174447
1741818508.2127528,-13529.332104841722,-4262.388260649235,-16354.749066203722,-29912.49023824814,-21722.63225586799,-17931.30700961435,-34350.71967252727,-187500.02235174447
1741818508.2127607,-13887.496457993562,-4615.456416065266,-16702.20693376147,-30269.42524545494,-22081.824789264774,-18276.28383353756,-34699.9880313859,-187500.02235174447
1741818508.21277,-14024.937334649247,-4751.690298520362,-16842.084150562783,-30407.894302355566,-22221.433785132624,-18416.74219569471,-34838.59119875327,-187500.02235174447
1741818508.2127793,-13677.859446747238,-4404.768872829542,-16501.55532378618,-30054.602629494984,-21875.22761526437,-18080.236682920062,-34493.413209129954,-187500.02235174447
1741818508.212787,-13474.23505475939,-4202.105605853272,-16296.03103351963,-29856.96850502116,-21669.368048830995,-17881.19439854555,-34290.07938982003,-187500.02235174447
1741818508.2127943,-13790.668701013174,-4519.209804440714,-16613.157583851527,-30183.840415935567,-21982.31482294975,-18191.526018563036,-34612.12332393209,-187500.02235174447
1741818508.2128017,-14010.475755986663,-4736.804036713128,-16833.99281906996,-30408.117819800118,-22197.986805199005,-18412.07068110355,-34835.03727138487,-187500.02235174447
1741818508.212809,-13748.468607481553,-4467.845495682418,-16572.76798162079,-30133.861915333502,-21934.5267933043,-18146.17432906322,-34569.006808877806,-187500.02235174447
1741818508.2128165,-13505.549848741275,-4219.115283383761,-16327.725807157256,-29887.031601313545,-21691.406868863927,-17899.142849343163,-34322.489419280224,-187500.02235174447
1741818508.2128239,-13776.63180549524,-4494.756996006608,-16603.501630246836,-30174.16211058642,-21968.434389643,-18170.984765408608,-34602.93675696096,-187500.02235174447
1741818508.212833,-14042.77402672458,-4761.905045736438,-16870.359107298747,-30439.65613122656,-22235.984770773026,-18429.03565514513,-34870.375379368714,-187500.02235174447
1741818508.2128403,-13855.801684355938,-4567.444868975266,-16680.30222419527,-30234.288303171197,-22048.431283048547,-18241.92920230975,-34675.334057251705,-187500.02235174447
1741818508.2128477,-13525.509956539865,-4244.126885429249,-16342.030923608652,-29886.361048979885,-21713.44568889686,-17916.30898908484,-34333.30766359659,-187500.02235174447
1741818508.212855,-13703.832173804305,-4421.756198615575,-16516.285123382226,-30070.29355410261,-21888.638661937555,-18090.026746991487,-34512.702764594884,-187500.02235174447
1741818508.2128632,-14034.459177787206,-4752.5620165541195,-16846.778016898395,-30409.928311100997,-22216.605808330278,-18418.798556184596,-34847.80011746885,-187500.02235174447
1741818508.2128708,-13936.312667883954,-4657.321233430056,-16747.84919593921,-30305.925644150455,-22116.71586235951,-18324.071863183006,-34746.92669474205,-187500.02235174447
1741818508.2128785,-13558.367020889167,-4281.789574836442,-16365.232034353261,-29916.602959227916,-21740.290133987684,-17955.491597114993,-34360.308570898604,-187500.02235174447
1741818508.2128863,-13660.358030838732,-4379.0643667059385,-16462.55152971167,-30026.37237624793,-21840.872984036563,-18052.833444217857,-34460.846717458575,-187500.02235174447
1741818508.2128956,-13995.76830813507,-4709.445501499832,-16799.86170528671,-30370.14220597055,-22173.310479320346,-18385.82973311302,-34801.04026806835,-187500.02235174447
1741818508.2129035,-13974.444743924707,-4685.439727954832,-16783.4108213676,-30346.449356847927,-22154.490310488978,-18364.01443052464,-34781.393084692136,-187500.02235174447
1741818508.2129111,-13606.177402279069,-4319.85459564383,-16415.43405239988,-29966.603811574438,-21789.642785745,-17995.814144112366,-34408.342469733056,-187500.02235174447
1741818508.212919,-13611.3630069927,-4328.728238192587,-16418.518593134715,-29979.187843702777,-21789.620434000546,-18003.212571527074,-34415.33856574757,-187500.02235174447
1741818508.2129264,-13948.583775589917,-4667.893608557416,-16756.588728021234,-30328.925589194965,-22124.583676407776,-18339.360456390437,-34759.75659605939,-187500.02235174447
1741818508.2129338,-14005.066633828477,-4721.895423161438,-16814.47974616048,-30385.050819522243,-22183.167598625136,-18395.239817528705,-34817.871131643195,-187500.02235174447
1741818508.2129543,-13649.048048144346,-4363.14992465376,-16457.58944244259,-30014.280082497608,-21830.18885018693,-18045.09974063632,-34454.2306010998,-187500.02235174447
1741818508.2129617,-13537.15521540108,-4252.262920410982,-16341.606240464002,-29908.265758546087,-21713.19981970785,-17938.727788773514,-34340.817849733576,-187500.02235174447
1741818508.2129707,-13859.065039046412,-4574.485668478688,-16664.6336513321,-30241.70908233036,-22029.655817706087,-18253.976792571164,-34668.94145833748,-187500.02235174447
1741818508.2129788,-14023.328009048464,-4737.005202413226,-16832.80817661383,-30403.602767420147,-22194.96931969754,-18409.813154913565,-34833.31618706181,-187500.02235174447
1741818508.2129865,-13702.066385992335,-4416.637649135309,-16512.88765822502,-30070.204147124787,-21875.786408875752,-18096.19582846115,-34508.47828489284,-187500.02235174447
1741818508.212994,-13506.57802898622,-4219.271745594949,-16309.643245892912,-29872.413560439774,-21680.678031525378,-17900.998044132954,-34307.245529561704,-187500.02235174447
1741818508.2130015,-13810.07001520038,-4522.428455642278,-16614.208115840927,-30191.663526494925,-21982.985375283406,-18205.40645186978,-34618.73944029086,-187500.02235174447
1741818508.2130089,-14024.06561661549,-4739.12861813648,-16830.394188212656,-30412.8787413691,-22191.571854540332,-18419.98319864073,-34837.9206464196,-187500.02235174447
1741818508.2130165,-13755.509406984975,-4467.353757304401,-16564.408429194504,-30132.78903159965,-21926.48016530039,-18151.851672154866,-34565.36347453159,-187500.02235174447
1741818508.2130237,-13475.129124537603,-4185.073576578328,-16279.043707733597,-29843.646865325794,-21648.80444393211,-17867.67159315009,-34276.154253024375,-187500.02235174447
1741818508.2130327,-13733.738807885506,-4445.113771571371,-16533.40655963499,-30106.145752208922,-21905.022490623294,-18116.088881026375,-34534.87569509455,-187500.02235174447
1741818508.2130404,-14020.914020647291,-4730.076161632081,-16824.023941042895,-30398.48421793988,-22193.71762200804,-18402.817058899054,-34826.78947768086,-187500.02235174447
1741818508.2130475,-13861.143751280755,-4567.176648041803,-16667.584081600202,-30230.04147172469,-22036.674265465055,-18245.885461078342,-34665.18636526899,-187500.02235174447
1741818508.689499,-13515.697540723986,-4225.262013108971,-16319.478013453248,-29870.29014471652,-21695.54194158816,-17902.607369733738,-34311.31354705257,-187500.02235174447
1741818508.6903768,-13698.333644668299,-4411.764968844052,-16501.331806341626,-30060.503490031184,-21877.954528087917,-18080.43784862016,-34495.60368008658,-187500.02235174447
1741818508.6904223,-14026.747825950126,-4741.2967373486445,-16827.264943988914,-30400.048840051753,-22197.852694732275,-18407.488573490213,-34830.455163771534,-187500.02235174447
1741818508.6904635,-13939.128987685322,-4651.219207193757,-16741.12132085816,-30306.46208601738,-22108.75864133342,-18318.64038928037,-34743.551581329295,-187500.02235174447
1741818508.690504,-13559.663422067575,-4264.578731605856,-16357.498330771725,-29910.567988224982,-21730.410662938437,-17935.68795152759,-34353.89362023993,-187500.02235174447
